Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de prácticas de mitigación y adaptación en establecimientos turísticos de la comuna;Adaptación - Mitigación;Desarrollo Económico Verde 4.1;Difundir en plataformas locales los establecimientos que incorporen prácticas de sostenibilidad, y promover su adopción entre los operadores turísticos locales entregando información y asistencia técnica.;Unidad de Turismo;Sernatur;Presupuesto sectorial de Sernatur Presupuesto municipal;Coordinación de la acción por medio de la mesa público-privada de la ZOIT.;Indicador 1 Número de establecimientos con implementación de prácticas sustentables / Total establecimientos registrados en Sernatur para la comuna;Publicación en plataformas y/o medios de comunicación locales;2030;$13.500.000;Potenciar la economía verde;Corral;156
Fomentar prácticas sustentables en las pesquerías;Adaptación;Desarrollo Económico Verde 5.1;Incorporación de la temática de cambio climático en los comités de manejo constituidos en la comuna, con el fin de definir prácticas sustentables en pesca artesanal.;Unidad de Medio Ambiente;Sernapesca;Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca);Fomentar el acceso a la información de fondos públicos disponibles, así como subsidios a la actividad de pesca artesanal;Indicador 1 Número de pesquerías con instrumentos de manejo sustentable (e.g. Planes de manejo, AMERB)/ Total pesquerías artesanales;Minutas de los comités de Manejo.;2030;$0;Potenciar la economía verde;Corral;157
Fomentar prácticas sustentables en las pesquerías;Adaptación;Desarrollo Económico Verde 5.2;Colaborar con Sernapesca en la implementación de planes de manejo en pesquerías locales en la comuna a través de un convenio de colaboración y/o mesa de trabajo.;Unidad de Medio Ambiente;Sernapesca;Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca);Fomentar el acceso a la información de fondos públicos disponibles, así como subsidios a la actividad de pesca artesanal;Indicador 1 Número de pesquerías con instrumentos de manejo sustentable (e.g. Planes de manejo, AMERB)/ Total pesquerías artesanales;Mesa de trabajo conformada y/o convenio de colaboración firmado;2030;$0;Potenciar la economía verde;Corral;158
Fomentar prácticas sustentables en las pesquerías;Adaptación;Desarrollo Económico Verde 5.3;Desarrollar una campaña de concientización del cambio climático y prácticas sustentables en la pesca artesanal dirigida a los pescadores en la comuna, considerando diferentes medios de difusión, incluyendo la colaboración con asociaciones de pescadores.;Unidad de Medio Ambiente;Sernapesca;Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca);Fomentar el acceso a la información de fondos públicos disponibles, así como subsidios a la actividad de pesca artesanal;Indicador 1 Número de pesquerías con instrumentos de manejo sustentable (e.g. Planes de manejo, AMERB)/ Total pesquerías artesanales;Campaña de concientización en medios locales, medios digitales y/o eventos.;2030;$4.000.000;Potenciar la economía verde;Corral;158
Fomento al consumo de productos de pesca artesanal sustentable;Adaptación;Desarrollo Económico Verde 6.1;Conformación de mesa de trabajo con pescadores artesanales locales, con enfoque de género, que busque potenciar las actividades productivas sustentables y promover la diversificación de los productos derivados del mar.;Medio Ambiente;Sernapesca Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala (Indespa);Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca).;Capacitación e implementación de prácticas sustentables en la producción. Infraestructura para la comercialización de productos provenientes de la pesca artesanal.;Indicador 1 Toneladas de cada producto marino comercializado obtenido bajo prácticas sustentables / Total producción pesquera;Mesa de trabajo conformada;2030;$0;Potenciar la economía verde;Corral;159
Fomento al consumo de productos de pesca artesanal sustentable;Adaptación;Desarrollo Económico Verde 6.2;Campañas publicitarias para aumentar el consumo de pescados y mariscos locales y producción de pesca artesanal sustentable.;Medio Ambiente;Sernapesca Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala (Indespa);Programas de la Subsecretaría de Desarrollo Regional y gobiernos regionales en coordinación con el Ministerio de Economía (Subsecretaría de Pesca).;Capacitación e implementación de prácticas sustentables en la producción. Infraestructura para la comercialización de productos provenientes de la pesca artesanal.;Indicador 1 Toneladas de cada producto marino comercializado obtenido bajo prácticas sustentables / Total producción pesquera;Campaña publicitaria lanzada en medios digitales y/o locales.;2027;$12.000.000;Potenciar la economía verde;Corral;159
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.1;Evaluar, seleccionar e implementar una figura de protección para humedales en la comuna.;Unidad de Medio Ambiente;Seremi del Medio Ambiente;Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar planes de gestión integral. Tener en consideración también: fondos Subdere, fondo GEF, fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;Indicador 1 Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1;Informe con la evaluación y selección de la figura de protección para cada humedal seleccionado, y antecedentes enviados mediante oficios al Gore para su incorporación a IPT nivel regional.;2030;$35.000.000;Conservar y mejorar los servicios ecosistémicos;Corral;171
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.2;Conformar alianzas por medio de mesas de trabajo y/o convenios de colaboración para desarrollar planes de gestión integral para humedales seleccionados.;Unidad de Medio Ambiente;Seremi del Medio Ambiente;Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar planes de gestión integral. Tener en consideración también: fondos Subdere, fondo GEF, fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;Indicador 1 Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1;Conformación de mesa de trabajo o convenio de colaboración que incluya este objetivo.;2030;$0;Conservar y mejorar los servicios ecosistémicos;Corral;172
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.3;Realizar actividades de educación ambiental y de sensibilización de la comunidad sobre la importancia de los humedales en conjunto con la Seremi de Medio Ambiente u otros actores relevantes. Incluirá difusión de posibles líneas de financiamiento comunitario.;Unidad de Medio Ambiente;Seremi del Medio Ambiente;Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar planes de gestión integral. Tener en consideración también: fondos Subdere, fondo GEF, fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;Indicador 1 Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1;Actas, fotos y/o videos que evidencien la realización de esta acción;2030;$7.500.000;Conservar y mejorar los servicios ecosistémicos;Corral;172
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.4;Reforzar y priorizar labores de fiscalización en humedales seleccionados, para asegurar cumplimiento de normativa ambiental.;Unidad de Medio Ambiente;Seremi del Medio Ambiente;Existen diversas fuentes de financiamiento posibles, incluyendo fuentes internacionales. Sin embargo se recomienda priorizar la búsqueda en: FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar planes de gestión integral. Tener en consideración también: fondos Subdere, fondo GEF, fondos de ONG y financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Reconocimiento del valor ambiental y protección de humedales en el Plan Regulador Intercomunal del Borde Costero.;Indicador 1 Número de humedales protegidos por medio de figura formal / Número de humedales seleccionados según acción Servicios Ecosistémicos 1;Actas, fotos y videos que evidencien la realización de esta acción;2030;$18.000.000;Conservar y mejorar los servicios ecosistémicos;Corral;173
Conservación y reforestación de bosques nativos para la restauración de cuencas;Adaptación - Mitigación;Servicios Ecosistémicos 2.1;Realizar campañas de educación ambiental y de sensibilización de la comunidad sobre la importancia de la restauración de cuencas y microcuencas por medio de la reforestación del bosque nativo.;Unidad de Medio Ambiente;Seremi del Medio Ambiente Conaf Empresas forestales;Fondos sectoriales del Ministerio de Agricultura a través de Conaf y sus programas + Árboles Para Chile y Restauración de Bosque Nativo a Gran Escala.;1. Desarrollar Plan Regulador Intercomunal que facilite la implementación de esta medida. 2. Trabajo por medio de la Mesa Regional del Agua y también a través de asociaciones de municipios donde actualmente participa la comuna, o abogar por participar en alguna existente, como la Asociación de Municipalidades Paisajes de Conservación para la Biodiversidad de Los Ríos. 3. Promover la participación de actores clave en la Mesa Regional del Agua u otras instancias formales de coordinación, tales como empresas forestales y propietarios prediales, Conaf, DGA, Infor, The Nature Conservancy (TNC) y APR, entre otros.;Indicador 1 Número de hectáreas reforestadas con influencia en caudales superficiales;Actas y registros —fotos y/o videos— que evidencien la realización de esta acción;2030;$12.000.000;Conservar y mejorar los servicios ecosistémicos;Corral;173
Conservación y reforestación de bosques nativos para la restauración de cuencas;Adaptación - Mitigación;Servicios Ecosistémicos 2.3;Promover el diseño e implementación de acuerdos público-privados y acciones de restauración de cuencas en la comuna usando instancias de coordinación como la Mesa Regional del Agua.;Unidad de Medio Ambiente;Seremi del Medio Ambiente Conaf Empresas forestales;Fondos sectoriales del Ministerio de Agricultura a través de Conaf y sus programas + Árboles Para Chile y Restauración de Bosque Nativo a Gran Escala.;1. Desarrollar Plan Regulador Intercomunal que facilite la implementación de esta medida. 2. Trabajo por medio de la Mesa Regional del Agua y también a través de asociaciones de municipios donde actualmente participa la comuna, o abogar por participar en alguna existente, como la Asociación de Municipalidades Paisajes de Conservación para la Biodiversidad de Los Ríos. 3. Promover la participación de actores clave en la Mesa Regional del Agua u otras instancias formales de coordinación, tales como empresas forestales y propietarios prediales, Conaf, DGA, Infor, The Nature Conservancy (TNC) y APR, entre otros.;Indicador 1 Número de hectáreas reforestadas con influencia en caudales superficiales;Actas de reuniones en instancias de coordinación, buscando implementar acciones relacionadas con la restauración de ecosistemas de bosque nativo en cuencas y microcuencas.;2030;$0;Conservar y mejorar los servicios ecosistémicos;Corral;174
Conservación y reforestación de bosques nativos para la restauración de cuencas;Adaptación - Mitigación;Servicios Ecosistémicos 2.4;Establecer una mesa de trabajo con la Seremi de Medio Ambiente y otros actores relevantes para la implementación de figuras de protección ambiental formal de áreas de relevancia ecosistémica en la comuna.;Unidad de Medio Ambiente;Seremi del Medio Ambiente Conaf Empresas forestales;Fondos sectoriales del Ministerio de Agricultura a través de Conaf y sus programas + Árboles Para Chile y Restauración de Bosque Nativo a Gran Escala.;1. Desarrollar Plan Regulador Intercomunal que facilite la implementación de esta medida. 2. Trabajo por medio de la Mesa Regional del Agua y también a través de asociaciones de municipios donde actualmente participa la comuna, o abogar por participar en alguna existente, como la Asociación de Municipalidades Paisajes de Conservación para la Biodiversidad de Los Ríos. 3. Promover la participación de actores clave en la Mesa Regional del Agua u otras instancias formal es de coordinación, tales como empresas forestales y propietarios prediales, Conaf, DGA, Infor, The Nature Conservancy (TNC) y APR, entre otros.;Indicador 1 Número de hectáreas reforestadas con influencia en caudales superficiales;Mesa de trabajo establecida;2030;$0;Conservar y mejorar los servicios ecosistémicos;Corral;175
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.1;Elaborar el Plan Comunal para la Reducción del Riesgo de Desastres;Gestión de Riesgo y Desastres;Conaf, empresas forestales;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno regional;;Indicador 1 Porcentaje de superficie incendiada respecto de la totalidad con bosques y plantaciones forestales;Plan aprobado;2027;$7.000.000;Conservar y mejorar los servicios ecosistémicos;Corral;175
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.2;Elaborar un convenio de colaboración con Conaf y otros actores relevantes, para establecer roles y responsabilidades del municipio en torno a la prevención de incendios forestales y a la aplicación de los programas existentes de Conaf en esta materia.;Gestión de Riesgo y Desastres;Conaf, empresas forestales;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno regional;;Indicador 1 Porcentaje de superficie incendiada respecto de la totalidad con bosques y plantaciones forestales;Convenio de colaboración firmado con identificación de roles y responsabilidades.;2026;$0;Conservar y mejorar los servicios ecosistémicos;Corral;176
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.3;Creación de campaña de difusión de información a la población general sobre medidas preventivas, incluyendo protección de viviendas, con especial énfasis en la interfaz urbano-rural.;Gestión de Riesgo y Desastres;Conaf, empresas forestales;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno regional;;Indicador 1 Porcentaje de superficie incendiada respecto de la totalidad con bosques y plantaciones forestales;Registros de la campaña;2027;$8.000.000;Conservar y mejorar los servicios ecosistémicos;Corral;176
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.4;Coordinar la creación y/o mantención de la mesa de trabajo de prevención de incendios forestales que involucre autoridades locales, representantes del sector privado, asociaciones civiles y comunidades de pueblos originarios;Gestión de Riesgo y Desastres;Conaf, empresas forestales;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno regional;;Indicador 1 Porcentaje de superficie incendiada respecto de la totalidad con bosques y plantaciones forestales;Acta de conformación de mesa de trabajo;2025;$0;Conservar y mejorar los servicios ecosistémicos;Corral;176
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.1;Identificar geoespacialmente viviendas urbanas y rurales con problemas de acceso a fuentes de agua mejorada (donde fuente mejorada implica que está ubicada dentro de la vivienda o en el patio o parcela de la misma, está disponible en el momento en que se la necesita, cumple con los estándares para contaminantes fecales y químicos prioritarios);Unidad de Gestión de Riesgos y Desastres;Secretaría de Planificación Municipal Unidad de Operaciones Conaf Gore;Fondos Gore (FNDR, FRIL FIC-R) Fondos Subdere (Programa Mejoramiento Urbano y equipamiento comunal, PMU) Fondos MOP (programas específicos para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) Fondos propios del municipio;Coordinación con comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Información SIG disponible;2026;$13.000.000;Fortalecer la seguridad hídrica;Corral;187
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.2;Levantar una cartera de soluciones (tecnológicas, basadas en la naturaleza, de planificación territorial y/o de gestión) que mejoren el nivel de acceso a fuentes de agua mejorada y la continuidad del servicio, para las viviendas identificadas en la acción 1.1.;Unidad de Gestión de Riesgos y Desastres;Secretaría de Planificación Municipal Unidad de Operaciones Conaf Gore;Fondos Gore (FNDR, FRIL FIC-R) Fondos Subdere (Programa Mejoramiento Urbano y equipamiento comunal, PMU) Fondos MOP (programas específicos para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) Fondos propios del municipio;Coordinación con comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Cartera de soluciones;2030;$30.000.000;Fortalecer la seguridad hídrica;Corral;188
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.3;Generar un plan de acción para que las soluciones levantadas se ejecuten, identificando actores responsables, plazos y fuentes de financiamiento.;Unidad de Gestión de Riesgos y Desastres;Secretaría de Planificación Municipal Unidad de Operaciones Conaf Gore;Fondos Gore (FNDR, FRIL FIC-R) Fondos Subdere (Programa Mejoramiento Urbano y equipamiento comunal, PMU) Fondos MOP (programas específicos para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) Fondos propios del municipio;Coordinación con comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Plan de acción elaborado;2030;$5.000.000;Fortalecer la seguridad hídrica;Corral;188
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.4;Promover participación de APR en programas de financiamiento enfocados en incrementar su eficiencia hídrica.;Unidad de Gestión de Riesgos y Desastres;Secretaría de Planificación Municipal Unidad de Operaciones Conaf Gore;Fondos Gore (FNDR, FRIL FIC-R) Fondos Subdere (Programa Mejoramiento Urbano y equipamiento comunal, PMU) Fondos MOP (programas específicos para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) Fondos propios del municipio;Coordinación con comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Mesa de trabajo establecida con comités APR;2026;$0;Fortalecer la seguridad hídrica;Corral;188
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.5;Definir e implementar una estrategia para fomentar la participación de mujeres y comunidades indígenas en comités de agua y en otras instancias de planificación y gestión de agua en la comuna;Unidad de Gestión de Riesgos y Desastres;Secretaría de Planificación Municipal Unidad de Operaciones Conaf Gore;Fondos Gore (FNDR, FRIL FIC-R) Fondos Subdere (Programa Mejoramiento Urbano y equipamiento comunal, PMU) Fondos MOP (programas específicos para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) Fondos propios del municipio;Coordinación con comités de APR en la comuna y diagnóstico del estado de los mismos, en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Incorporar en Plan Regulador Intercomunal de Borde Costero las zonas rurales con riesgo de escasez hídrica.;Indicador 1 Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Estrategia disponible e informe de resultados disponible;2026;$5.000.000;Fortalecer la seguridad hídrica;Corral;189
