Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.1;Conformar una mesa de trabajo con la REDCOTUR para promover y potenciar las líneas de experiencias turísticas alternativas a las que se encuentran en áreas y zonas de riesgo de cambio climático.;Dirección de Turismo y Desarrollo de Economía Local - Departamento de Turismo;Sernatur;Presupuesto general Ministerio de Obras Públicas (MOP), Fondo Nacional de Desarrollo Regional (FNDR), presupuesto Gobierno Regional (GORE);Colaborar con la Cámara de Turismo Futrono y comunidades mapuche en la conformación de la mesa de trabajo. Apoyar a los actores locales en el acceso a capacitaciones desarrolladas por Sernatur, y en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico.;Índice de saturación de destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Mesa de trabajo establecida;2030;;Potenciar la economía verde;Futrono;157
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.2;Elaborar al menos una campaña anual de marketing y difusión de destinos y/o experiencias turísticas alternativas en la comuna.;Dirección de Turismo y Desarrollo de Economía Local - Departamento de Turismo;Sernatur;Presupuesto general Ministerio de Obras Públicas (MOP), Fondo Nacional de Desarrollo Regional (FNDR), presupuesto Gobierno Regional (GORE);Colaborar con la Cámara de Turismo Futrono y comunidades mapuche en la conformación de la mesa de trabajo. Apoyar a los actores locales en el acceso a capacitaciones desarrolladas por Sernatur, y en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico.;Índice de saturación de destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Campaña de marketing ejecutada en medios locales.;2030;;Potenciar la economía verde;Futrono;157
Fomento de líneas de experiencia turísticas alternativas;Adaptación;Desarrollo Económico Verde 3.3;Colaborar con Sernatur para extender la implementación del índice de saturación de destinos turísticos en los destinos turísticos de Futrono; por ejemplo, en la Reserva Nacional Mocho-Choshuenco.;Dirección de Turismo y Desarrollo de Economía Local - Departamento de Turismo;Sernatur;Presupuesto general Ministerio de Obras Públicas (MOP), Fondo Nacional de Desarrollo Regional (FNDR), presupuesto Gobierno Regional (GORE);Colaborar con la Cámara de Turismo Futrono y comunidades mapuche en la conformación de la mesa de trabajo. Apoyar a los actores locales en el acceso a capacitaciones desarrolladas por Sernatur, y en la difusión de las becas que entrega Sernatur para el fortalecimiento de capacidades en el sector turístico.;Índice de saturación de destinos con mayor riesgo de pérdida de biodiversidad e incendios forestales.;Conformación de mesa de trabajo y/o convenio de colaboración firmado;NA;;Potenciar la economía verde;Futrono;158
Fomento de prácticas de mitigación y adaptación en establecimientos turísticos de la comuna;Adaptación - Mitigación;Desarrollo Económico Verde 4.1;Difundir en plataformas locales los establecimientos con sello S y promover su adopción en operadores locales, a través de difusión de información y asesoría técnica.;Fomento productivo;Sernatur;Presupuesto municipal;Colaborar con Sernatur para la difusión de información sobre prácticas sustentables y apoyo técnico a operadores locales.;Número de establecimientos con Sello de Turismo Sustentable S - Nivel 3, Nº con sellos S - Nivel 2 y Nº con Sello S - Nivel 1 / Total establecimientos registrados en Sernatur para la comuna;Publicación en plataformas y/o medios de comunicación locales;2030;;Potenciar la economía verde;Futrono;159
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.1;Evaluar, seleccionar e implementar una figura de protección para humedales en la comuna.;Unidad de Medio Ambiente (Dimao);Seremi MMA;FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también fondos Subdere, fondo GEF, fondos de ONG, financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Desarrollo del Plan Regulador Intercomunal que identifique humedales rurales.;Número de humedales protegidos por medio de figura formal / número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Informe con la evaluación y selección de la figura de protección para cada humedal seleccionado, y antecedentes enviados mediante oficios al GORE para su incorporación a IPT nivel regional.;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;170
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.2;Conformar alianzas por medio de mesas de trabajo y/o convenios de colaboración para desarrollar Planes de Gestión Integral para humedales seleccionados.;Unidad de Medio Ambiente (Dimao);Seremi MMA;FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también fondos Subdere, fondo GEF, fondos de ONG, financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Desarrollo del Plan Regulador Intercomunal que identifique humedales rurales.;Número de humedales protegidos por medio de figura formal / número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Conformación de mesa de trabajo o convenio de colaboración que incluya este objetivo.;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;171
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.3;Realizar actividades de educación ambiental y de sensibilización de la comunidad sobre la importancia de los humedales en conjunto con la Seremi del Medio Ambiente u otros actores relevantes. Incluirá difusión de posibles líneas de financiamiento comunitario.;Unidad de Medio Ambiente (Dimao);Seremi MMA;FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también fondos Subdere, fondo GEF, fondos de ONG, financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Desarrollo del Plan Regulador Intercomunal que identifique humedales rurales.;Número de humedales protegidos por medio de figura formal / número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Actas, fotos y videos que evidencien la realización de esta acción;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;171
Contribuir a la conservación y gestión sustentable de humedales;Adaptación - Mitigación;Servicios Ecosistémicos 1.4;Reforzar y priorizar labores de fiscalización en humedales seleccionados, para asegurar cumplimiento de normativa ambiental.;Unidad de Medio Ambiente (Dimao);Seremi MMA;FNDR para implementar figuras de protección de humedales. Proyectos 8% FNDR para la comunidad. FPA y convenios con privados para implementar Planes de Gestión Integral. Tener en consideración también fondos Subdere, fondo GEF, fondos de ONG, financiamiento de privados, entre otros.;Coordinación con Seremi del Medio Ambiente para establecer figura de protección formal en base al SBAP. Catastro de humedales rurales. Desarrollo del Plan Regulador Intercomunal que identifique humedales rurales.;Número de humedales protegidos por medio de figura formal / número de humedales seleccionados según acción Servicios Ecosistémicos 1.1;Actas, fotos y videos que evidencien la realización de esta acción;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;172
Conservación y Reforestación de Bosques Nativos para la Restauración de Cuencas;Adaptación - Mitigación;Servicios Ecosistémicos 2.1;Realizar campañas de educación ambiental y de sensibilización de la comunidad sobre la importancia de la restauración de cuencas y micro cuencas por medio de la reforestación del bosque nativo.;Dirección de Medio Ambiente, Aseo y Ornato;Seremi MMA Conaf Empresas forestales;Fondos sectoriales del Ministerio de Agricultura a través de Conaf y sus programas + Árboles Para Chile y Restauración de Bosque Nativo a Gran Escala.;1. Desarrollar Plan Regulador Intercomunal que facilite la implementación de esta medida. 2. Trabajo por medio de la Mesa Regional del Agua y también a través de asociaciones de municipios donde actualmente participa la comuna, o abogar por participar en alguna existente, como la Asociación de Municipios Paisajes de Conservación para la Biodiversidad de Los Ríos. 3. Promover la participación de actores clave en la Mesa Regional del Agua u otras instancias formales de coordinación, tales como empresas forestales y propietarios prediales, Conaf, DGA, Infor, TNC, APR, entre otros. 4. Vincular medida con Plan de manejo ZOIT Lago Ranco, que busca mantener corredores biológicos;Número de hectáreas reforestadas con influencia en caudales superficiales;Actas y registros -fotos y/o videos- que evidencien la realización de esta acción;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;172
Conservación y Reforestación de Bosques Nativos para la Restauración de Cuencas;Adaptación - Mitigación;Servicios Ecosistémicos 2.2;Promover el diseño e implementación de acuerdos público-privados y acciones de restauración de cuencas en la comuna, usando instancias de coordinación como la Mesa Regional del Agua.;Dirección de Medio Ambiente, Aseo y Ornato;Seremi MMA Conaf Empresas forestales;Fondos sectoriales del Ministerio de Agricultura a través de Conaf y sus programas + Árboles Para Chile y Restauración de Bosque Nativo a Gran Escala.;1. Desarrollar Plan Regulador Intercomunal que facilite la implementación de esta medida. 2. Trabajo por medio de la Mesa Regional del Agua y también a través de asociaciones de municipios donde actualmente participa la comuna, o abogar por participar en alguna existente, como la Asociación de Municipios Paisajes de Conservación para la Biodiversidad de Los Ríos. 3. Promover la participación de actores clave en la Mesa Regional del Agua u otras instancias formales de coordinación, tales como empresas forestales y propietarios prediales, Conaf, DGA, Infor, TNC, APR, entre otros. 4. Vincular medida con Plan de manejo ZOIT Lago Ranco, que busca mantener corredores biológicos;Número de hectáreas reforestadas con influencia en caudales superficiales;Actas de reuniones en instancias de coordinación, buscando implementar acciones relacionadas con la restauración de ecosistemas de bosque nativo en cuencas y microcuencas.;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;173
Conservación y Reforestación de Bosques Nativos para la Restauración de Cuencas;Adaptación - Mitigación;Servicios Ecosistémicos 2.3;Establecer una mesa de trabajo con la Seremi del Medio Ambiente y otros actores relevantes, para la implementación de figuras de protección ambiental formal de áreas de relevancia ecosistémica en la comuna.;Dirección de Medio Ambiente, Aseo y Ornato;Seremi MMA Conaf Empresas forestales;Fondos sectoriales del Ministerio de Agricultura a través de Conaf y sus programas + Árboles Para Chile y Restauración de Bosque Nativo a Gran Escala.;1. Desarrollar Plan Regulador Intercomunal que facilite la implementación de esta medida. 2. Trabajo por medio de la Mesa Regional del Agua y también a través de asociaciones de municipios donde actualmente participa la comuna, o abogar por participar en alguna existente, como la Asociación de Municipios Paisajes de Conservación para la Biodiversidad de Los Ríos. 3. Promover la participación de actores clave en la Mesa Regional del Agua u otras instancias formales de coordinación, tales como empresas forestales y propietarios prediales, Conaf, DGA, Infor, TNC, APR, entre otros. 4. Vincular medida con Plan de manejo ZOIT Lago Ranco, que busca mantener corredores biológicos;Número de hectáreas reforestadas con influencia en caudales superficiales;Mesa de trabajo establecida;2030;;Conservar y mejorar los servicios ecosistémicos;Futrono;174
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.1;Elaborar el Plan Comunal para la Reducción del Riesgo de Desastres y el Plan Comunal de Emergencia;Unidad de Gestión de Riesgo de Desastres;Conaf, Empresas forestales Unidad de Medio Ambiente Municipal;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno Regional;Convenio de colaboración con Conaf Coordinación con actores locales para mesa de trabajo Educación y difusión de medidas preventivas frente a incendios, generando convenios con organismos públicos o empresas privadas para su ejecución.;Porcentaje de superficie incendiada, respecto a la totalidad con bosques y plantaciones forestales;Planes aprobados;2027;;Conservar y mejorar los servicios ecosistémicos;Futrono;174
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.2;Elaborar un convenio de colaboración o mesa de trabajo con Conaf y otros actores relevantes, para establecer roles y responsabilidades del municipio en torno a la prevención de incendios forestales y a la aplicación de los programas existentes de Conaf en esta materia.;Unidad de Gestión de Riesgo de Desastres;Conaf, Empresas forestales Unidad de Medio Ambiente Municipal;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno Regional;Convenio de colaboración con Conaf Coordinación con actores locales para mesa de trabajo Educación y difusión de medidas preventivas frente a incendios, generando convenios con organismos públicos o empresas privadas para su ejecución.;Porcentaje de superficie incendiada, respecto a la totalidad con bosques y plantaciones forestales;Convenio de colaboración firmado o mesa de trabajo establecida con identificación de roles y responsabilidades.;2026;;Conservar y mejorar los servicios ecosistémicos;Futrono;175
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.3;Creación de campaña de difusión de información a la población general sobre medidas preventivas, incluyendo protección de viviendas, con especial énfasis en la interfaz urbano-rural.;Unidad de Gestión de Riesgo de Desastres;Conaf, Empresas forestales Unidad de Medio Ambiente Municipal;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno Regional;Convenio de colaboración con Conaf Coordinación con actores locales para mesa de trabajo Educación y difusión de medidas preventivas frente a incendios, generando convenios con organismos públicos o empresas privadas para su ejecución.;Porcentaje de superficie incendiada, respecto a la totalidad con bosques y plantaciones forestales;Registros de la campaña;2027;;Conservar y mejorar los servicios ecosistémicos;Futrono;175
Gestión del riesgo de incendios;Adaptación - Mitigación;Servicios Ecosistémicos 3.4;Coordinar la creación y/o mantención de una mesa de trabajo de prevención de incendios forestales que involucre autoridades locales, representantes del sector privado, asociaciones civiles y comunidades de pueblos originarios;Unidad de Gestión de Riesgo de Desastres;Conaf, Empresas forestales Unidad de Medio Ambiente Municipal;Financiamiento sectorial del Ministerio de Agricultura Asociaciones público-privadas e inversión privada Subsecretaría de Desarrollo Regional Gobierno Regional;Convenio de colaboración con Conaf Coordinación con actores locales para mesa de trabajo Educación y difusión de medidas preventivas frente a incendios, generando convenios con organismos públicos o empresas privadas para su ejecución.;Porcentaje de superficie incendiada, respecto a la totalidad con bosques y plantaciones forestales;Acta de conformación de mesa de trabajo;2025;;Conservar y mejorar los servicios ecosistémicos;Futrono;176
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.1;Identificar geoespacialmente todas las viviendas urbanas y rurales sin acceso a fuentes de agua mejorada. (donde fuente mejorada implica que está ubicada dentro de la vivienda o en el patio o parcela de la misma, está disponible en el momento en que se la necesita y cumple con los estándares para contaminantes fecales y químicos prioritarios);Unidad de Medio Ambiente;Seremi MINVU Conaf Comités APR Dideco Municipalidad;Fondos GORE (FNDR, FRIL FIC-R) - Fondos Subdere - Programa Mejoramiento Urbano y equipamiento comunal (PMU) - Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) - Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de sus instalaciones en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Desarrollo de un Plan Regulador Intercomunal que incorpore las zonas rurales con riesgo de escasez hídrica.;Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Información SIG disponible;2026;;Fortalecer la seguridad hídrica;Futrono;185
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.2;Levantar una cartera de soluciones (tecnológicas, basadas en la naturaleza, de planificación territorial y/o de gestión) que mejoren el nivel de acceso a fuentes de agua mejorada y la continuidad del servicio, para las viviendas identificadas en la acción 1.1.;Unidad de Medio Ambiente;Seremi MINVU Conaf Comités APR Dideco Municipalidad;Fondos GORE (FNDR, FRIL FIC-R) - Fondos Subdere - Programa Mejoramiento Urbano y equipamiento comunal (PMU) - Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) - Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de sus instalaciones en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Desarrollo de un Plan Regulador Intercomunal que incorpore las zonas rurales con riesgo de escasez hídrica.;Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Cartera de soluciones;2028;;Fortalecer la seguridad hídrica;Futrono;186
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.3;Generar un plan de acción para que las soluciones levantadas se ejecuten, identificando actores responsables, plazos y fuentes de financiamiento.;Unidad de Medio Ambiente;Seremi MINVU Conaf Comités APR Dideco Municipalidad;Fondos GORE (FNDR, FRIL FIC-R) - Fondos Subdere - Programa Mejoramiento Urbano y equipamiento comunal (PMU) - Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) - Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de sus instalaciones en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Desarrollo de un Plan Regulador Intercomunal que incorpore las zonas rurales con riesgo de escasez hídrica.;Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Plan de acción elaborado;2030;;Fortalecer la seguridad hídrica;Futrono;186
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.4;Promover participación de APR en programas de financiamiento enfocados en incrementar su eficiencia hídrica.;Unidad de Medio Ambiente;Seremi MINVU Conaf Comités APR Dideco Municipalidad;Fondos GORE (FNDR, FRIL FIC-R) - Fondos Subdere - Programa Mejoramiento Urbano y equipamiento comunal (PMU) - Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) - Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de sus instalaciones en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Desarrollo de un Plan Regulador Intercomunal que incorpore las zonas rurales con riesgo de escasez hídrica.;Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Mesa de trabajo establecida con comités APR.;2026;;Fortalecer la seguridad hídrica;Futrono;187
Mejorar la gestión y eficiencia del uso del agua a nivel domiciliario y de espacios públicos en zonas urbanas y rurales;Adaptación;Seguridad Hídrica 1.5;Reemplazar la vegetación de alto consumo hídrico en espacios públicos por especies nativas seleccionadas.;Unidad de Medio Ambiente;Seremi MINVU Conaf Comités APR Dideco Municipalidad;Fondos GORE (FNDR, FRIL FIC-R) - Fondos Subdere - Programa Mejoramiento Urbano y equipamiento comunal (PMU) - Fondos MOP (programas específicos del MOP para mejorar la infraestructura hídrica y tecnológica, programa de financiamiento APR) - Fondos propios del municipio;Coordinación con Comités de APR en la comuna y diagnóstico del estado de sus instalaciones en cuanto al nivel de eficiencia hídrica y pérdidas en los sistemas. Actualización del PRC, urbanizando zonas densamente pobladas con escasez hídrica sin infraestructura de agua potable y alcantarillado. Desarrollo de un Plan Regulador Intercomunal que incorpore las zonas rurales con riesgo de escasez hídrica.;Porcentaje de viviendas con soluciones implementadas, en base al total identificado en Seguridad Hídrica 1.1;Inventario de vegetación reemplazada;2030;;Fortalecer la seguridad hídrica;Futrono;187
